i,names,p1,t1,p2,t2,p3,t3,error1,error2,error3,hit1,hit2,hit3
0,LiO,0.0340481749089,0.005,0.102758216326,0.24,-0.0331461419757,0.143,-0.0290481749089,0.137241783674,0.176146141976,1,1,0
1,LiSb,-0.221632871733,-0.137,0.186888926419,0.408,0.062699701469,-0.218,0.0846328717334,0.221111073581,-0.280699701469,1,1,0
2,BeGe,-0.117523696825,-0.281,0.0308440923446,0.225,-0.0291644181313,-0.108,-0.163476303175,0.194155907655,-0.0788355818687,1,1,1
3,NaGe,-0.208828623977,-0.397,0.205991286951,0.426,0.0810483056521,-0.298,-0.188171376023,0.220008713049,-0.379048305652,1,1,0
4,MgI,0.0360369266267,0.002,0.112605404324,0.141,0.0410936087774,0.052,-0.0340369266267,0.028394595676,0.0109063912226,1,1,1
5,KAs,-0.145743614565,0.009,0.243327692624,0.268,0.119600669204,-0.284,0.154743614565,0.0246723073756,-0.403600669204,0,1,0
6,KSb,-0.202694594476,-0.019,0.241985360196,0.269,0.119953900397,-0.363,0.183694594476,0.0270146398042,-0.482953900397,1,1,0
7,CaTe,-0.00376455852917,0.06,0.315889782915,0.278,0.193243186991,0.143,0.0637645585292,-0.0378897829149,-0.050243186991,0,1,1
8,ZnI,0.0140642611528,0.051,0.0418967067486,0.147,0.00116349613542,0.105,0.0369357388472,0.105103293251,0.103836503865,1,1,1
9,GeI,-0.0896826592314,-0.169,0.0947080425246,0.173,-0.144847556561,0.175,-0.0793173407686,0.0782919574754,0.319847556561,1,1,0
10,RbGe,-0.21301497656,0.032,0.247026002514,0.265,0.120722561589,-0.232,0.24501497656,0.0179739974858,-0.352722561589,0,1,0
11,RbAs,-0.162566091971,0.024,0.244469218539,0.222,0.126280325814,-0.221,0.186566091971,-0.0224692185391,-0.347280325814,0,1,0
12,SrGe,0.0254102935621,-0.156,0.380711637012,0.5,0.266735103439,0.196,-0.181410293562,0.119288362988,-0.0707351034385,0,1,1
13,YBr,-0.0495201339807,-0.32,0.234392579143,0.186,-0.0378579098286,-0.28,-0.270479866019,-0.0483925791432,-0.242142090171,1,1,1
14,NbO,-0.182476031653,-0.454,-0.0201829007085,0.036,-0.341156252772,-0.353,-0.271523968347,0.0561829007085,-0.0118437472279,1,0,1
15,NbP,-0.0677054732772,-0.348,0.347763036574,0.55,0.0329897979021,0.42,-0.280294526723,0.202236963426,0.387010202098,1,1,1
16,RhGe,-0.114600335405,-0.335,0.176148884055,0.118,0.0266931997662,-0.052,-0.220399664595,-0.0581488840548,-0.0786931997662,1,1,0
17,AgB,-0.0137608871247,-0.225,0.0749105636015,0.035,0.00121043139615,0.028,-0.211239112875,-0.0399105636015,0.0267895686039,1,1,1
18,AgBr,0.0571968312138,0.002,0.128531340454,-0.044,-0.019725971831,-0.037,-0.0551968312138,-0.172531340454,-0.017274028169,1,0,1
19,InN,0.103942821638,0.167,-0.0243539343068,-0.252,-0.0932815961775,-0.234,0.0630571783622,-0.227646065693,-0.140718403822,1,1,1
20,SnO,0.152018684312,0.115,-0.0412157955241,-0.033,-0.129883910929,-0.057,-0.0370186843122,0.00821579552413,0.0728839109286,1,1,1
21,SbN,0.0671401497276,0.147,-0.0275980634992,0.049,-0.170084870821,-0.074,0.0798598502724,0.0765980634992,0.0960848708206,1,0,1
22,SbSi,0.0593573790248,0.097,0.22903681452,0.189,0.075864695583,0.058,0.0376426209752,-0.0400368145199,-0.017864695583,1,1,1
23,SbTe,0.119917757724,0.106,0.278570015722,0.343,0.127385627783,0.319,-0.0139177577244,0.0644299842777,0.191614372217,1,1,1
24,TeAs,0.142674052889,0.114,0.292207147162,0.295,0.119653179296,0.281,-0.0286740528895,0.00279285283799,0.161346820704,1,1,1
25,HfO,-0.00155030687769,-0.082,0.154465941667,-0.151,-0.151625368068,-0.219,-0.0804496931223,-0.305465941667,-0.0673746319316,1,0,1
26,ReSe,-0.601869614619,-0.714,-0.216761997924,-0.466,-0.538426200671,-0.967,-0.112130385381,-0.249238002076,-0.428573799329,1,1,1
27,AuI,0.0636249521432,0.026,0.224635247604,-0.131,0.083690013021,-0.107,-0.0376249521432,-0.355635247604,-0.190690013021,1,0,0
28,HgF,0.280445236138,0.093,-0.00540857331657,0.106,-0.125718175776,0.068,-0.187445236138,0.111408573317,0.193718175776,1,0,0
29,PbB,-0.148581213243,0.127,-0.100769385074,-0.187,-0.197990398708,-0.141,0.275581213243,-0.0862306149256,0.0569903987077,0,1,1
30,BiN,0.137838242867,0.185,0.0971361023987,0.034,-0.0964262558287,-0.015,0.0471617571328,-0.0631361023987,0.0814262558287,1,1,1
31,BiSb,0.0736175507325,0.087,0.31592287746,0.223,0.127510161806,0.101,0.0133824492675,-0.0929228774597,-0.0265101618056,1,1,1
